map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n
1,2,0.1,1,20,1,1.0,1.8200759753606213,0.7590306365784575
1,2,0.1,4,558,2,0.5,1.9172048506629946,0.7995365237221537
1,2,0.1,3,121,3,1.0,1.4184836619456564,0.5915536337374193
1,2,0.1,7,478,6,0.8571428571428571,1.9685506540167101,0.8209493868843527
1,2,0.1,5,373,5,1.0,2.0602094303543708,0.8591740655754675
1,2,0.1,9,676,8,0.8888888888888888,1.6326309271543518,0.6808599798643638
1,2,0.1,6,440,5,0.8333333333333334,1.6434177197931796,0.6853584217943316
1,2,0.1,4,273,4,1.0,1.5607104090414063,0.6508667942032513
1,2,0.1,4,284,4,1.0,1.6957425341696346,0.7071795642645744
1,2,0.1,2,173,1,0.5,1.4941751382893085,0.6231194311274443
1,2,0.1,8,589,7,0.875,1.7262612680766163,0.7199068648490432
1,2,0.1,4,438,3,0.75,1.8711604142318061,0.7803345022854734
1,2,0.1,4,139,4,1.0,1.5607104090414063,0.6508667942032513
1,2,0.1,2,183,1,0.5,1.721954449406054,0.718110781959428
1,2,0.1,2,105,2,1.0,1.3321790402101223,0.5555618109440845
1,2,0.1,2,129,2,1.0,1.6434177197931796,0.6853584217943316
1,2,0.1,2,124,2,1.0,1.6957425341696346,0.7071795642645744
1,2,0.1,2,59,2,1.0,1.8636799873410004,0.7772149219703265
1,2,0.1,1,6,1,1.0,1.3321790402101223,0.5555618109440845
1,2,0.1,3,224,2,0.6666666666666666,1.969540332941515,0.8213621150531063
1,2,0.1,2,167,2,1.0,1.9701814400260842,0.8216294774737432
1,2,0.1,4,397,2,0.5,1.6865700306609468,0.703354333190999
1,2,0.1,5,411,4,0.8,1.8866967846580782,0.7868136719983946
1,2,0.1,2,87,2,1.0,1.986266517864739,0.8283374759510426
1,2,0.1,4,344,4,1.0,1.7328679513998633,0.7226620657947196
1,2,0.1,5,523,3,0.6,1.6957425341696346,0.7071795642645744
1,2,0.1,4,481,1,0.25,1.7328679513998633,0.7226620657947196
1,2,0.1,3,153,3,1.0,1.5934242371738903,0.6645095201819828
1,2,0.1,3,188,3,1.0,2.180945560561596,0.9095249426870958
1,2,0.1,2,99,2,1.0,1.7328679513998633,0.7226620657947196
1,2,0.1,3,130,3,1.0,1.3862943611198906,0.5781296526357756
1,2,0.1,1,19,1,1.0,1.7677614722893296,0.7372137942564656
1,2,0.1,5,235,5,1.0,1.7328679513998633,0.7226620657947196
1,2,0.1,4,387,2,0.5,1.3862943611198906,0.5781296526357756
1,2,0.1,4,406,2,0.5,1.830270353640052,0.7632820225314119
1,2,0.1,4,346,3,0.75,1.569152946203119,0.6543876056654885
1,2,0.1,1,15,1,1.0,1.4184836619456564,0.5915536337374193
1,2,0.1,4,191,4,1.0,1.7328679513998633,0.7226620657947196
1,2,0.1,1,9,1,1.0,1.7917594692280547,0.747221736309214
1,2,0.1,3,160,3,1.0,1.6304325826288886,0.6799431989897354
1,2,0.1,2,174,1,0.5,1.7201934592198251,0.7173763920107904
1,2,0.1,4,454,2,0.5,2.0467385326945515,0.8535562649097618
1,2,0.1,6,659,4,0.6666666666666666,1.952138209415365,0.8141048658631358
1,2,0.1,1,23,1,1.0,1.9600951351245586,0.8174231616200258
1,2,0.1,2,144,2,1.0,1.9730014063936125,0.8228054947917295
1,2,0.1,1,15,1,1.0,1.559581156259877,0.6503958592152477
1,2,0.1,5,358,5,1.0,1.8915002219923818,0.7888168609569758
1,2,0.1,2,154,2,1.0,1.9468389992053852,0.8118949235566081
1,2,0.1,3,220,2,0.6666666666666666,1.9061547465398496,0.7949282723741916
1,2,0.1,4,333,4,1.0,1.9084465879540944,0.7958840444799392
1,2,0.1,4,302,4,1.0,1.8739645228734347,0.7815039064181052
1,2,0.1,5,494,4,0.8,2.0788659159828207,0.866954424392672
1,2,0.1,3,257,3,1.0,1.7160770873198983,0.7156597315933724
1,2,0.1,5,381,4,0.8,1.6434177197931796,0.6853584217943316
1,2,0.1,4,289,3,0.75,1.5171063970610277,0.6326825088113825
1,2,0.1,7,977,1,0.14285714285714285,1.798105502624266,0.7498682377924941
1,2,0.1,2,168,1,0.5,1.7917594692280547,0.747221736309214
1,2,0.1,5,365,5,1.0,1.8636736140385588,0.777212264096768
1,2,0.1,2,151,2,1.0,1.8866967846580784,0.7868136719983947
1,2,0.1,1,12,1,1.0,1.7478680974667573,0.7289176125807094
1,2,0.1,4,508,2,0.5,1.7012931577009558,0.709494354069737
1,2,0.1,3,110,3,1.0,1.90853528164356,0.7959210326213613
1,2,0.1,3,233,2,0.6666666666666666,1.8751218560198155,0.781986551827815
1,2,0.1,9,946,7,0.7777777777777778,2.037588712681095,0.8497404935884485
1,2,0.1,7,403,7,1.0,1.7751250090009734,0.7402846275806627
1,2,0.1,1,19,1,1.0,1.5607104090414068,0.6508667942032516
1,2,0.1,4,362,3,0.75,1.7480673485460894,0.7290007067348171
1,2,0.1,6,482,5,0.8333333333333334,1.9061547465398496,0.7949282723741916
1,2,0.1,3,126,3,1.0,1.6957425341696346,0.7071795642645744
1,2,0.1,6,477,5,0.8333333333333334,1.7969868203402515,0.7494017110443475
1,2,0.1,4,270,3,0.75,1.7917594692280547,0.747221736309214
1,2,0.1,3,165,3,1.0,1.50346078725383,0.6269918475210448
1,2,0.1,2,164,1,0.5,1.3321790402101223,0.5555618109440845
1,2,0.1,6,630,4,0.6666666666666666,1.7966375831478982,0.7492560678228462
1,2,0.1,8,598,7,0.875,1.7328679513998633,0.7226620657947196
1,2,0.1,7,469,7,1.0,1.9061547465398496,0.7949282723741916
