map_no,reward,round,skill,goal_time,goal_rate,entropy,entropy_n,achivenmt_time,giveup_time,probability,path
0,6,2,88,2,1.0,1.904104329001298,0.8665952259234773,105.9465,211.893,0.1896551724137931:0.08620689655172414:0.034482758620689655:0.29310344827586204:0.20689655172413793:0.05172413793103448:0.05172413793103448:0.05172413793103448:0.034482758620689655,"['True1:4:5:6:5:2:5:4:1:4:5:6:5:4:1:4:1:4:5:2:3:2:5:6:5:8:5:4:1:4:7:4:1:4:7:4:5:2:3:2:5:8:9 ', 'True1:4:1:4:1:4:1:4:7:4:1:4:5:8:9 ']"
0,6,2,124,1,0.5,1.9060583512345635,0.8674845397666868,69.513,249.513,0.15151515151515152:0.10606060606060606:0.045454545454545456:0.2727272727272727:0.24242424242424243:0.06060606060606061:0.06060606060606061:0.045454545454545456:0.015151515151515152,"['False1:4:1:4:5:6:5:2:3:2:5:4:1:4:7:4:5:4:1:4:5:2:5:8:5:6:5:4:1:4:7:4:5:2:3:2:5:8:5:4:1:4:1 ', 'True1:4:7:4:5:6:5:4:1:4:7:4:1:4:5:2:3:2:5:6:5:8:9 ']"
0,6,4,112,3,0.75,1.9261548230652346,0.8766308382552259,22.50533333333333,247.51600000000002,0.14285714285714285:0.07142857142857142:0.014285714285714285:0.2571428571428571:0.2571428571428571:0.07142857142857142:0.07142857142857142:0.07142857142857142:0.04285714285714286,"['True1:4:5:6:5:8:9 ', 'False1:4:1:4:5:6:5:2:3:2:5:8:5:4:7:4:1:4:5:2:5:4:1:4:1:4:7:4:5:8:5:6:5:2:5:4:1:4:5:6:5:2:5:4:7 ', 'True1:4:7:4:1:4:7:4:5:6:5:8:9 ', 'True1:4:5:8:9 ']"
0,6,4,108,4,1.0,1.971743931661681,0.897379335730944,67.9225,271.69,0.14634146341463414:0.0975609756097561:0.036585365853658534:0.2682926829268293:0.21951219512195122:0.04878048780487805:0.07317073170731707:0.06097560975609756:0.04878048780487805,"['True1:4:5:2:5:8:9 ', 'True1:4:5:6:5:2:3:2:5:4:7:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:5:2:3:2:5:6:5:4:7:4:1:4:5:8:9 ', 'True1:4:1:4:5:2:3:2:5:6:5:4:1:4:7:4:1:4:5:6:5:2:5:8:5:4:7:4:1:4:1:4:7:4:5:8:9 ']"
0,6,4,136,3,0.75,1.8441170314752038,0.8392938302696843,86.64,439.92,0.1891891891891892:0.05405405405405406:0.018018018018018018:0.3333333333333333:0.18018018018018017:0.04504504504504504:0.0990990990990991:0.05405405405405406:0.02702702702702703,"['True1:4:5:8:5:4:7:4:1:4:7:4:1:4:7:4:1:4:1:4:5:2:3:2:5:6:5:4:7:4:1:4:7:4:1:4:5:6:5:8:9 ', 'True1:4:1:4:1:4:7:4:1:4:1:4:1:4:1:4:5:6:5:8:9 ', 'True1:4:5:8:9 ', 'False1:4:7:4:5:8:5:2:5:4:1:4:7:4:1:4:5:6:5:2:5:4:1:4:7:4:1:4:7:4:5:8:5:2:3:2:5:6:5:4:1:4:7:4 ']"
0,6,4,121,4,1.0,1.9484457787059084,0.886775889366796,69.35225,277.409,0.14634146341463414:0.0975609756097561:0.024390243902439025:0.25609756097560976:0.24390243902439024:0.04878048780487805:0.06097560975609756:0.07317073170731707:0.04878048780487805,"['True1:4:1:4:5:2:5:6:5:8:9 ', 'True1:4:7:4:5:8:9 ', 'True1:4:7:4:5:6:5:2:5:4:1:4:7:4:5:2:3:2:5:4:1:4:1:4:5:6:5:2:3:2:5:8:5:4:1:4:1:4:7:4:5:2:5:8:9 ', 'True1:4:5:6:5:8:5:2:5:4:1:4:7:4:1:4:5:8:9 ']"
0,6,5,131,5,1.0,1.7965401140057737,0.8176406419883528,87.8916,439.45799999999997,0.1984732824427481:0.04580152671755725:0.015267175572519083:0.35877862595419846:0.15267175572519084:0.022900763358778626:0.11450381679389313:0.05343511450381679:0.03816793893129771,"['True1:4:7:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:1:4:7:4:5:2:5:4:1:4:7:4:1:4:7:4:1:4:7:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:5:2:3:2:5:8:5:4:7:4:1:4:7:4:5:4:1:4:7:4:1:4:5:2:5:4:1:4:5:6:5:8:9 ', 'True1:4:7:4:1:4:1:4:7:4:5:2:3:2:5:6:5:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:1:4:5:8:5:6:5:4:1:4:1:4:7:4:1:4:1:4:7:4:5:8:9 ']"
0,6,3,89,2,0.6666666666666666,1.9991485513714364,0.9098517156562492,11.9775,203.955,0.11290322580645161:0.0967741935483871:0.04838709677419355:0.24193548387096775:0.24193548387096775:0.06451612903225806:0.08064516129032258:0.08064516129032258:0.03225806451612903,"['False1:4:7:4:5:4:1:4:7:4:5:8:5:2:3:2:5:6:5:4:1:4:7:4:5:8:5:2:3:2:5:6:5:4:1:4:7:4:1:4:5:8:5:2:3:2:5:6 ', 'True1:4:5:6:5:8:9 ', 'True1:4:7:4:5:8:9 ']"
0,6,5,174,4,0.8,1.9311042710472606,0.8788834291069204,83.93449999999999,515.7379999999999,0.15862068965517243:0.09655172413793103:0.034482758620689655:0.2689655172413793:0.23448275862068965:0.06206896551724138:0.06206896551724138:0.05517241379310345:0.027586206896551724,"['True1:4:1:4:7:4:5:8:5:2:5:6:5:4:1:4:7:4:5:8:9 ', 'False1:4:5:6:5:2:5:4:1:4:1:4:7:4:1:4:5:8:5:6:5:2:3:2:5:4:1:4:5:2:3:2:5:6:5:8:5:4:7:4:1:4:1 ', 'True1:4:5:6:5:8:9 ', 'True1:4:5:6:5:2:3:2:5:4:7:4:1:4:1:4:7:4:1:4:1:4:5:8:5:6:5:2:5:4:1:4:5:6:5:2:5:4:7:4:1:4:5:2:3:2:5:6:5:8:9 ', 'True1:4:5:4:7:4:1:4:1:4:1:4:7:4:1:4:5:2:3:2:5:8:9 ']"
0,6,3,125,2,0.6666666666666666,1.8984251085813515,0.8640105013220295,69.62950000000001,319.259,0.1839080459770115:0.06896551724137931:0.034482758620689655:0.3103448275862069:0.1839080459770115:0.04597701149425287:0.09195402298850575:0.05747126436781609:0.022988505747126436,"['False1:4:7:4:1:4:7:4:1:4:1:4:7:4:1:4:7:4:1:4:1:4:1:4:1:4:5:2:5:6:5:4:7:4:1:4:7:4:1:4:5:6:5:8:5:2:3 ', 'True1:4:5:2:3:2:5:6:5:8:5:4:1:4:5:8:9 ', 'True1:4:7:4:5:8:5:2:3:2:5:6:5:4:1:4:1:4:7:4:5:8:9 ']"
0,10,5,143,4,0.8,1.8428532546082796,0.8387186606306953,92.9365,551.746,0.1858974358974359:0.07692307692307693:0.02564102564102564:0.3333333333333333:0.1858974358974359:0.04487179487179487:0.08974358974358974:0.03205128205128205:0.02564102564102564,"['True1:4:1:4:5:2:3:2:5:6:5:8:9 ', 'True1:4:7:4:5:2:3:2:5:6:5:8:9 ', 'True1:4:5:4:7:4:1:4:5:6:5:4:1:4:1:4:5:2:3:2:5:4:7:4:1:4:7:4:1:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:1:4:7:4:5:2:5:6:5:4:1:4:1:4:5:6:5:4:7:4:1:4:1:4:1:4:1:4:7:4:1:4:7:4:1:4:5:8:9 ', 'False1:4:1:4:1:4:5:8:5:2:5:4:7:4:1:4:7:4:1:4:7:4:5:2:3:2:5:6:5:4:1:4:7:4:5:2:5:4:1:4:5:6:5:2:5:4:1:4:7:4 ']"
0,10,5,133,4,0.8,1.83414820873309,0.8347568235181034,51.885000000000005,387.54,0.19444444444444445:0.046296296296296294:0.018518518518518517:0.3425925925925926:0.17592592592592593:0.046296296296296294:0.09259259259259259:0.046296296296296294:0.037037037037037035,"['True1:4:5:6:5:8:9 ', 'False1:4:1:4:7:4:5:8:5:6:5:2:3:2:5:4:1:4:7:4:1:4:5:2:3:2:5:6:5:4:7:4:1:4:7:4 ', 'True1:4:7:4:1:4:7:4:1:4:7:4:1:4:5:6:5:2:5:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:5:4:7:4:1:4:7:4:5:6:5:4:1:4:1:4:5:8:9 ', 'True1:4:1:4:5:4:1:4:1:4:1:4:5:8:9 ']"
0,10,8,196,7,0.875,1.9180514418758956,0.8729428305418027,70.46414285714286,673.2489999999999,0.1708542713567839:0.08040201005025126:0.03015075376884422:0.2964824120603015:0.20603015075376885:0.04522613065326633:0.07537688442211055:0.06030150753768844:0.035175879396984924,"['True1:4:5:8:9 ', 'True1:4:1:4:7:4:1:4:7:4:5:8:5:2:5:4:1:4:5:8:9 ', 'True1:4:7:4:5:6:5:8:9 ', 'True1:4:1:4:1:4:7:4:5:6:5:4:1:4:7:4:1:4:7:4:1:4:1:4:7:4:1:4:1:4:7:4:5:2:5:4:1:4:5:6:5:8:9 ', 'False1:4:5:8:5:2:3:2:5:4:7:4:1:4:5:6:5:2:3:2:5:4:1:4:5:2:3:2:5:4:1:4:7:4:1:4:1:4:7:4:1:4:7:4:5:2 ', 'True1:4:5:8:5:4:1:4:7:4:1:4:7:4:1:4:7:4:1:4:5:2:3:2:5:8:5:6:5:4:1:4:5:8:9 ', 'True1:4:5:6:5:4:1:4:5:2:5:6:5:8:9 ', 'True1:4:5:8:5:6:5:2:3:2:5:4:1:4:1:4:5:2:3:2:5:6:5:8:9 ']"
0,10,7,152,6,0.8571428571428571,1.947952259914867,0.8865512792854543,58.0255,528.153,0.1619718309859155:0.09859154929577464:0.035211267605633804:0.2605633802816901:0.2323943661971831:0.04929577464788732:0.04929577464788732:0.07042253521126761:0.04225352112676056,"['False1:4:5:6:5:2:5:8:5:4:1:4:5:6:5:2:3:2:5:8:5:4:1:4:5:2:5:4:7:4:1:4:7:4:1:4 ', 'True1:4:5:8:9 ', 'True1:4:5:6:5:8:5:2:3:2:5:4:1:4:5:6:5:2:3:2:5:8:9 ', 'True1:4:7:4:1:4:1:4:1:4:7:4:1:4:7:4:1:4:7:4:5:2:5:4:1:4:5:8:9 ', 'True1:4:7:4:1:4:5:6:5:2:5:8:9 ', 'True1:4:5:4:1:4:5:8:9 ', 'True1:4:5:6:5:8:5:2:3:2:5:4:1:4:1:4:1:4:5:2:3:2:5:6:5:8:9 ']"
0,10,6,182,4,0.6666666666666666,1.8044366396697282,0.8212345056950513,71.333,645.332,0.18617021276595744:0.05319148936170213:0.010638297872340425:0.3351063829787234:0.20212765957446807:0.047872340425531915:0.09574468085106383:0.047872340425531915:0.02127659574468085,"['False1:4:7:4:1:4:1:4:5:2:5:4:7:4:1:4:5:4:7:4:1:4:5:6:5:2:5:8:5:4:7:4:1:4:5:8:5:6:5:4:1:4:7 ', 'False1:4:5:6:5:2:5:4:7:4:1:4:5:4:7:4:1:4:7:4:5:6:5:2:5:4:1:4:5:4:7:4:1:4:1:4:7:4:1:4:1:4:5:2:5:6:5:8:5:4:7 ', 'True1:4:7:4:1:4:5:6:5:8:9 ', 'True1:4:1:4:5:4:7:4:1:4:1:4:5:2:3:2:5:8:9 ', 'True1:4:5:6:5:8:5:2:3:2:5:4:7:4:1:4:7:4:1:4:1:4:1:4:1:4:7:4:1:4:5:8:9 ', 'True1:4:1:4:1:4:1:4:7:4:1:4:1:4:7:4:5:2:5:8:5:6:5:4:1:4:5:6:5:8:9 ']"
0,10,3,115,3,1.0,1.8672554942832456,0.8498245985155471,98.765,296.295,0.17647058823529413:0.07058823529411765:0.023529411764705882:0.3176470588235294:0.21176470588235294:0.047058823529411764:0.07058823529411765:0.047058823529411764:0.03529411764705882,"['True1:4:5:4:1:4:7:4:1:4:7:4:1:4:1:4:1:4:5:4:1:4:7:4:5:8:9 ', 'True1:4:7:4:5:2:3:2:5:6:5:4:1:4:5:6:5:4:1:4:5:8:5:6:5:2:5:4:1:4:5:2:3:2:5:6:5:4:7:4:1:4:7:4:1:4:5:8:9 ', 'True1:4:1:4:5:2:5:8:9 ']"
0,10,5,179,2,0.4,1.8274706998316559,0.8317177582489859,27.2,594.4,0.16216216216216217:0.07432432432432433:0.02027027027027027:0.32432432432432434:0.22297297297297297:0.0472972972972973:0.08783783783783784:0.0472972972972973:0.013513513513513514,"['False1:4:7:4:5:4:1:4:1:4:1:4:7:4:5:6:5:4:1:4:1:4:7:4:1:4:5:4:1:4:1:4:7:4:5:6:5:2:5:4 ', 'True1:4:5:6:5:8:9 ', 'True1:4:1:4:5:2:3:2:5:8:9 ', 'False1:4:7:4:5:2:5:4:1:4:5:6:5:8:5:4:1:4:5:2:5:6:5:8:5:4:7:4:1:4:7:4:1:4:7:4:1:4:7:4:5:2:5:6 ', 'False1:4:7:4:5:2:3:2:5:8:5:4:1:4:7:4:5:8:5:2:5:4:1:4:1:4:7:4:1:4:5:4:7:4:1:4:5:8:5:2:3:2:5:6:5:4 ']"
0,10,4,200,2,0.5,1.8547067494673848,0.8441134186273839,124.3575,608.715,0.16875:0.075:0.03125:0.31875:0.2125:0.05:0.08125:0.05:0.0125,"['True1:4:5:4:1:4:7:4:5:8:5:2:3:2:5:6:5:4:1:4:5:4:1:4:7:4:1:4:5:6:5:2:3:2:5:8:9 ', 'False1:4:5:6:5:4:1:4:1:4:5:4:7:4:1:4:1:4:7:4:1:4:7:4:5:2:5:6:5:4:1:4:1:4:7:4:5:6:5:2:3:2 ', 'False1:4:1:4:1:4:5:2:5:8:5:6:5:4:7:4:1:4:1:4:7:4:1:4:5:8:5:4:1:4:7:4:5:2:3:2:5:8:5:4:1:4:7:4:1:4:7:4 ', 'True1:4:1:4:7:4:5:8:5:6:5:4:1:4:5:8:5:6:5:2:3:2:5:4:7:4:1:4:1:4:5:8:9 ']"
0,10,6,175,5,0.8333333333333334,1.9232463285730697,0.8753071253666276,77.22460000000001,566.123,0.16560509554140126:0.08280254777070063:0.03184713375796178:0.2929936305732484:0.21019108280254778:0.05732484076433121:0.07643312101910828:0.050955414012738856:0.03184713375796178,"['True1:4:7:4:1:4:7:4:1:4:5:4:7:4:1:4:5:8:9 ', 'False1:4:7:4:5:2:3:2:5:8:5:6:5:4:1:4:1:4:5:6:5:8:5:2:5:4:7:4:1:4:7:4:1:4:1:4:5:6:5:2:3:2 ', 'True1:4:5:4:1:4:7:4:1:4:7:4:5:6:5:4:1:4:5:6:5:8:9 ', 'True1:4:1:4:7:4:5:8:5:2:3:2:5:6:5:4:1:4:1:4:7:4:1:4:5:2:5:6:5:8:9 ', 'True1:4:5:6:5:2:3:2:5:4:7:4:1:4:1:4:1:4:5:2:5:8:9 ', 'True1:4:7:4:5:2:3:2:5:6:5:4:1:4:1:4:5:8:9 ']"
